premise,hypothesis,prediction,pred_label,gold_label
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,"{'entailment': 37.3, 'neutral': 61.4, 'contradiction': 1.3}",neutral,entailment
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,"{'entailment': 0.6, 'neutral': 6.1, 'contradiction': 93.3}",contradiction,contradiction
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,"{'entailment': 0.7, 'neutral': 92.2, 'contradiction': 7.1}",contradiction,neutral
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly ten reports that can bore some waiter.,"{'entailment': 2.9, 'neutral': 94.1, 'contradiction': 3.0}",contradiction,entailment
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly eleven reports that can bore some waiter.,"{'entailment': 0.2, 'neutral': 5.1, 'contradiction': 94.7}",contradiction,contradiction
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly ten waitresses that can bore some waiter.,"{'entailment': 0.6, 'neutral': 17.4, 'contradiction': 82.1}",contradiction,neutral
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,"{'entailment': 36.8, 'neutral': 60.1, 'contradiction': 3.0}",neutral,entailment
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,"{'entailment': 0.4, 'neutral': 2.1, 'contradiction': 97.6}",contradiction,contradiction
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,"{'entailment': 1.7, 'neutral': 69.8, 'contradiction': 28.5}",contradiction,neutral
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly ten reports that can bore some waiter.,"{'entailment': 6.4, 'neutral': 92.3, 'contradiction': 1.3}",neutral,entailment
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly eleven reports that can bore some waiter.,"{'entailment': 0.8, 'neutral': 20.2, 'contradiction': 79.0}",contradiction,contradiction
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly ten waitresses that can bore some waiter.,"{'entailment': 0.8, 'neutral': 89.5, 'contradiction': 9.7}",contradiction,neutral
All ten reports that can bore some waiter aren't disagreeing with Naomi.,All ten reports that can bore some waiter are disagreeing with Naomi.,"{'entailment': 0.3, 'neutral': 0.3, 'contradiction': 99.4}",contradiction,contradiction
Are all ten reports that can bore some waiter disagreeing with Naomi?,All ten reports that can bore some waiter are disagreeing with Naomi.,"{'entailment': 22.4, 'neutral': 71.1, 'contradiction': 6.5}",neutral,neutral
All ten reports that can bore some waiter might be disagreeing with Naomi.,All ten reports that can bore some waiter are disagreeing with Naomi.,"{'entailment': 41.1, 'neutral': 56.2, 'contradiction': 2.7}",neutral,neutral
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",All ten reports that can bore some waiter are disagreeing with Naomi.,"{'entailment': 88.9, 'neutral': 10.7, 'contradiction': 0.4}",entailment,neutral
The five waiters that approached Paul depart.,There are exactly five waiters that approached Paul.,"{'entailment': 43.6, 'neutral': 54.7, 'contradiction': 1.6}",neutral,entailment
The five waiters that approached Paul depart.,There are exactly six waiters that approached Paul.,"{'entailment': 1.3, 'neutral': 3.6, 'contradiction': 95.1}",contradiction,contradiction
The five waiters that approached Paul depart.,There are exactly five doctors that approached Paul.,"{'entailment': 0.0, 'neutral': 0.2, 'contradiction': 99.7}",contradiction,neutral
The five waiters that approached Paul don't depart.,There are exactly five waiters that approached Paul.,"{'entailment': 32.6, 'neutral': 65.9, 'contradiction': 1.5}",neutral,entailment
The five waiters that approached Paul don't depart.,There are exactly six waiters that approached Paul.,"{'entailment': 0.4, 'neutral': 1.4, 'contradiction': 98.2}",contradiction,contradiction
The five waiters that approached Paul don't depart.,There are exactly five doctors that approached Paul.,"{'entailment': 0.0, 'neutral': 0.2, 'contradiction': 99.8}",contradiction,neutral
Do the five waiters that approached Paul depart?,There are exactly five waiters that approached Paul.,"{'entailment': 11.2, 'neutral': 87.6, 'contradiction': 1.2}",neutral,entailment
Do the five waiters that approached Paul depart?,There are exactly six waiters that approached Paul.,"{'entailment': 0.5, 'neutral': 3.6, 'contradiction': 95.9}",contradiction,contradiction
Do the five waiters that approached Paul depart?,There are exactly five doctors that approached Paul.,"{'entailment': 0.1, 'neutral': 0.5, 'contradiction': 99.5}",contradiction,neutral
The five waiters that approached Paul might depart.,There are exactly five waiters that approached Paul.,"{'entailment': 16.5, 'neutral': 80.1, 'contradiction': 3.4}",neutral,entailment
The five waiters that approached Paul might depart.,There are exactly six waiters that approached Paul.,"{'entailment': 0.8, 'neutral': 3.2, 'contradiction': 96.0}",contradiction,contradiction
The five waiters that approached Paul might depart.,There are exactly five doctors that approached Paul.,"{'entailment': 0.0, 'neutral': 0.3, 'contradiction': 99.7}",contradiction,neutral
"If the five waiters that approached Paul depart, it's okay.",There are exactly five waiters that approached Paul.,"{'entailment': 20.4, 'neutral': 78.5, 'contradiction': 1.2}",neutral,entailment
"If the five waiters that approached Paul depart, it's okay.",There are exactly six waiters that approached Paul.,"{'entailment': 5.3, 'neutral': 16.1, 'contradiction': 78.6}",contradiction,contradiction
"If the five waiters that approached Paul depart, it's okay.",There are exactly five doctors that approached Paul.,"{'entailment': 0.1, 'neutral': 0.5, 'contradiction': 99.4}",contradiction,neutral
The five waiters that approached Paul don't depart.,The five waiters that approached Paul depart.,"{'entailment': 0.1, 'neutral': 0.2, 'contradiction': 99.7}",contradiction,contradiction
Do the five waiters that approached Paul depart?,The five waiters that approached Paul depart.,"{'entailment': 37.8, 'neutral': 46.6, 'contradiction': 15.6}",neutral,neutral
The five waiters that approached Paul might depart.,The five waiters that approached Paul depart.,"{'entailment': 4.5, 'neutral': 41.9, 'contradiction': 53.6}",contradiction,neutral
"If the five waiters that approached Paul depart, it's okay.",The five waiters that approached Paul depart.,"{'entailment': 94.1, 'neutral': 5.5, 'contradiction': 0.4}",entailment,neutral
The five boys who research that university had examined those reports.,There are exactly five boys who research that university.,"{'entailment': 24.4, 'neutral': 74.9, 'contradiction': 0.7}",neutral,entailment
The five boys who research that university had examined those reports.,There are dozens of boys who research that university.,"{'entailment': 0.1, 'neutral': 0.6, 'contradiction': 99.4}",contradiction,contradiction
The five boys who research that university had examined those reports.,There are exactly five children who research that university.,"{'entailment': 29.5, 'neutral': 68.7, 'contradiction': 1.7}",neutral,neutral
The five boys who research that university hadn't examined those reports.,There are exactly five boys who research that university.,"{'entailment': 27.7, 'neutral': 71.2, 'contradiction': 1.0}",neutral,entailment
The five boys who research that university hadn't examined those reports.,There are dozens of boys who research that university.,"{'entailment': 0.1, 'neutral': 0.6, 'contradiction': 99.3}",contradiction,contradiction
The five boys who research that university hadn't examined those reports.,There are exactly five children who research that university.,"{'entailment': 34.5, 'neutral': 63.4, 'contradiction': 2.1}",neutral,neutral
Had the five boys who research that university examined those reports?,There are exactly five boys who research that university.,"{'entailment': 4.1, 'neutral': 95.2, 'contradiction': 0.7}",neutral,entailment
Had the five boys who research that university examined those reports?,There are dozens of boys who research that university.,"{'entailment': 0.2, 'neutral': 4.8, 'contradiction': 95.0}",contradiction,contradiction
Had the five boys who research that university examined those reports?,There are exactly five children who research that university.,"{'entailment': 6.1, 'neutral': 91.9, 'contradiction': 2.1}",neutral,neutral
The five boys who research that university might have examined those reports.,There are exactly five boys who research that university.,"{'entailment': 12.3, 'neutral': 86.8, 'contradiction': 1.0}",neutral,entailment
The five boys who research that university might have examined those reports.,There are dozens of boys who research that university.,"{'entailment': 0.1, 'neutral': 0.6, 'contradiction': 99.3}",contradiction,contradiction
The five boys who research that university might have examined those reports.,There are exactly five children who research that university.,"{'entailment': 17.3, 'neutral': 80.6, 'contradiction': 2.0}",neutral,neutral
"If the five boys who research that university had examined those reports, it's okay.",There are exactly five boys who research that university.,"{'entailment': 4.4, 'neutral': 94.9, 'contradiction': 0.6}",neutral,entailment
"If the five boys who research that university had examined those reports, it's okay.",There are dozens of boys who research that university.,"{'entailment': 0.1, 'neutral': 0.9, 'contradiction': 99.0}",contradiction,contradiction
"If the five boys who research that university had examined those reports, it's okay.",There are exactly five children who research that university.,"{'entailment': 6.2, 'neutral': 92.4, 'contradiction': 1.4}",neutral,neutral
The five boys who research that university hadn't examined those reports.,The five boys who research that university had examined those reports.,"{'entailment': 0.0, 'neutral': 0.1, 'contradiction': 99.9}",contradiction,contradiction
Had the five boys who research that university examined those reports?,The five boys who research that university had examined those reports.,"{'entailment': 52.9, 'neutral': 42.9, 'contradiction': 4.2}",entailment,neutral
The five boys who research that university might have examined those reports.,The five boys who research that university had examined those reports.,"{'entailment': 9.1, 'neutral': 78.4, 'contradiction': 12.5}",contradiction,neutral
"If the five boys who research that university had examined those reports, it's okay.",The five boys who research that university had examined those reports.,"{'entailment': 60.4, 'neutral': 35.8, 'contradiction': 3.8}",entailment,neutral
The two boys that divorced are needing to bike to a mountain.,There are exactly two boys that divorced.,"{'entailment': 15.2, 'neutral': 82.6, 'contradiction': 2.2}",neutral,entailment
The two boys that divorced are needing to bike to a mountain.,There are dozens of boys that divorced.,"{'entailment': 0.0, 'neutral': 5.7, 'contradiction': 94.3}",contradiction,contradiction
The two boys that divorced are needing to bike to a mountain.,There are exactly two museums that divorced.,"{'entailment': 0.1, 'neutral': 0.7, 'contradiction': 99.2}",contradiction,neutral
The two boys that divorced aren't needing to bike to a mountain.,There are exactly two boys that divorced.,"{'entailment': 11.8, 'neutral': 84.5, 'contradiction': 3.7}",neutral,entailment
The two boys that divorced aren't needing to bike to a mountain.,There are dozens of boys that divorced.,"{'entailment': 0.0, 'neutral': 5.3, 'contradiction': 94.6}",contradiction,contradiction
The two boys that divorced aren't needing to bike to a mountain.,There are exactly two museums that divorced.,"{'entailment': 0.1, 'neutral': 0.7, 'contradiction': 99.2}",contradiction,neutral
Are the two boys that divorced needing to bike to a mountain?,There are exactly two boys that divorced.,"{'entailment': 4.7, 'neutral': 91.6, 'contradiction': 3.8}",neutral,entailment
Are the two boys that divorced needing to bike to a mountain?,There are dozens of boys that divorced.,"{'entailment': 0.2, 'neutral': 44.2, 'contradiction': 55.7}",contradiction,contradiction
Are the two boys that divorced needing to bike to a mountain?,There are exactly two museums that divorced.,"{'entailment': 0.1, 'neutral': 0.9, 'contradiction': 99.1}",contradiction,neutral
The two boys that divorced might be needing to bike to a mountain.,There are exactly two boys that divorced.,"{'entailment': 12.0, 'neutral': 84.5, 'contradiction': 3.6}",neutral,entailment
The two boys that divorced might be needing to bike to a mountain.,There are dozens of boys that divorced.,"{'entailment': 0.1, 'neutral': 85.3, 'contradiction': 14.6}",contradiction,contradiction
The two boys that divorced might be needing to bike to a mountain.,There are exactly two museums that divorced.,"{'entailment': 0.1, 'neutral': 0.8, 'contradiction': 99.1}",contradiction,neutral
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are exactly two boys that divorced.,"{'entailment': 5.6, 'neutral': 92.9, 'contradiction': 1.5}",neutral,entailment
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are dozens of boys that divorced.,"{'entailment': 0.2, 'neutral': 85.2, 'contradiction': 14.6}",contradiction,contradiction
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are exactly two museums that divorced.,"{'entailment': 0.1, 'neutral': 1.3, 'contradiction': 98.6}",contradiction,neutral
The two boys that divorced aren't needing to bike to a mountain.,The two boys that divorced are needing to bike to a mountain.,"{'entailment': 0.2, 'neutral': 0.2, 'contradiction': 99.5}",contradiction,contradiction
Are the two boys that divorced needing to bike to a mountain?,The two boys that divorced are needing to bike to a mountain.,"{'entailment': 16.7, 'neutral': 72.7, 'contradiction': 10.6}",neutral,neutral
The two boys that divorced might be needing to bike to a mountain.,The two boys that divorced are needing to bike to a mountain.,"{'entailment': 47.3, 'neutral': 45.8, 'contradiction': 6.9}",entailment,neutral
"If the two boys that divorced are needing to bike to a mountain, it's okay.",The two boys that divorced are needing to bike to a mountain.,"{'entailment': 90.3, 'neutral': 9.2, 'contradiction': 0.4}",entailment,neutral
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 60.7, 'neutral': 37.3, 'contradiction': 2.0}",entailment,entailment
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 0.2, 'neutral': 0.5, 'contradiction': 99.4}",contradiction,contradiction
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 68.4, 'neutral': 29.0, 'contradiction': 2.6}",entailment,neutral
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 51.5, 'neutral': 42.4, 'contradiction': 6.1}",entailment,entailment
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 0.2, 'neutral': 0.6, 'contradiction': 99.2}",contradiction,contradiction
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 57.9, 'neutral': 34.9, 'contradiction': 7.2}",entailment,neutral
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 5.3, 'neutral': 91.6, 'contradiction': 3.1}",neutral,entailment
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 0.1, 'neutral': 0.8, 'contradiction': 99.1}",contradiction,contradiction
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 6.0, 'neutral': 90.3, 'contradiction': 3.7}",neutral,neutral
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 70.3, 'neutral': 28.0, 'contradiction': 1.7}",entailment,entailment
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 0.2, 'neutral': 0.6, 'contradiction': 99.2}",contradiction,contradiction
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 69.3, 'neutral': 28.2, 'contradiction': 2.5}",entailment,neutral
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 10.0, 'neutral': 88.6, 'contradiction': 1.5}",neutral,entailment
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 0.2, 'neutral': 1.4, 'contradiction': 98.4}",contradiction,contradiction
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,"{'entailment': 11.8, 'neutral': 86.3, 'contradiction': 2.0}",neutral,neutral
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,"{'entailment': 0.1, 'neutral': 0.1, 'contradiction': 99.8}",contradiction,contradiction
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,"{'entailment': 50.4, 'neutral': 44.5, 'contradiction': 5.1}",entailment,neutral
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,"{'entailment': 11.4, 'neutral': 76.7, 'contradiction': 12.0}",contradiction,neutral
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,"{'entailment': 76.3, 'neutral': 22.6, 'contradiction': 1.0}",entailment,neutral
The four pedestrians that were visiting Brenda sigh.,There are exactly four pedestrians that were visiting Brenda.,"{'entailment': 22.9, 'neutral': 76.1, 'contradiction': 1.0}",neutral,entailment
The four pedestrians that were visiting Brenda sigh.,There aren't exactly four pedestrians that were visiting Brenda.,"{'entailment': 0.6, 'neutral': 6.1, 'contradiction': 93.3}",contradiction,contradiction
The four pedestrians that were visiting Brenda sigh.,There are exactly four teenagers that were visiting Brenda.,"{'entailment': 0.0, 'neutral': 99.8, 'contradiction': 0.2}",contradiction,neutral
The four pedestrians that were visiting Brenda don't sigh.,There are exactly four pedestrians that were visiting Brenda.,"{'entailment': 25.0, 'neutral': 74.0, 'contradiction': 0.9}",neutral,entailment
The four pedestrians that were visiting Brenda don't sigh.,There aren't exactly four pedestrians that were visiting Brenda.,"{'entailment': 0.4, 'neutral': 2.8, 'contradiction': 96.8}",contradiction,contradiction
The four pedestrians that were visiting Brenda don't sigh.,There are exactly four teenagers that were visiting Brenda.,"{'entailment': 0.0, 'neutral': 99.8, 'contradiction': 0.2}",contradiction,neutral
Do the four pedestrians that were visiting Brenda sigh?,There are exactly four pedestrians that were visiting Brenda.,"{'entailment': 5.9, 'neutral': 92.7, 'contradiction': 1.4}",neutral,entailment
Do the four pedestrians that were visiting Brenda sigh?,There aren't exactly four pedestrians that were visiting Brenda.,"{'entailment': 1.0, 'neutral': 12.6, 'contradiction': 86.4}",contradiction,contradiction
Do the four pedestrians that were visiting Brenda sigh?,There are exactly four teenagers that were visiting Brenda.,"{'entailment': 0.1, 'neutral': 98.3, 'contradiction': 1.7}",contradiction,neutral
The four pedestrians that were visiting Brenda might sigh.,There are exactly four pedestrians that were visiting Brenda.,"{'entailment': 20.7, 'neutral': 78.0, 'contradiction': 1.4}",neutral,entailment
The four pedestrians that were visiting Brenda might sigh.,There aren't exactly four pedestrians that were visiting Brenda.,"{'entailment': 0.7, 'neutral': 5.0, 'contradiction': 94.3}",contradiction,contradiction
The four pedestrians that were visiting Brenda might sigh.,There are exactly four teenagers that were visiting Brenda.,"{'entailment': 0.0, 'neutral': 99.7, 'contradiction': 0.2}",contradiction,neutral
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There are exactly four pedestrians that were visiting Brenda.,"{'entailment': 10.6, 'neutral': 88.8, 'contradiction': 0.6}",neutral,entailment
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There aren't exactly four pedestrians that were visiting Brenda.,"{'entailment': 1.8, 'neutral': 16.0, 'contradiction': 82.1}",contradiction,contradiction
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There are exactly four teenagers that were visiting Brenda.,"{'entailment': 0.0, 'neutral': 99.8, 'contradiction': 0.2}",contradiction,neutral
The four pedestrians that were visiting Brenda don't sigh.,The four pedestrians that were visiting Brenda sigh.,"{'entailment': 0.1, 'neutral': 0.2, 'contradiction': 99.7}",contradiction,contradiction
Do the four pedestrians that were visiting Brenda sigh?,The four pedestrians that were visiting Brenda sigh.,"{'entailment': 36.6, 'neutral': 55.6, 'contradiction': 7.8}",neutral,neutral
The four pedestrians that were visiting Brenda might sigh.,The four pedestrians that were visiting Brenda sigh.,"{'entailment': 13.0, 'neutral': 59.1, 'contradiction': 27.9}",contradiction,neutral
"If the four pedestrians that were visiting Brenda sigh, it's okay.",The four pedestrians that were visiting Brenda sigh.,"{'entailment': 87.7, 'neutral': 11.5, 'contradiction': 0.7}",entailment,neutral
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There are exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 50.3, 'neutral': 47.8, 'contradiction': 1.9}",entailment,entailment
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There aren't exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 0.3, 'neutral': 1.1, 'contradiction': 98.6}",contradiction,contradiction
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There are exactly eight books that hadn't annoyed Amelia.,"{'entailment': 0.1, 'neutral': 0.9, 'contradiction': 99.0}",contradiction,neutral
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There are exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 48.2, 'neutral': 49.2, 'contradiction': 2.6}",neutral,entailment
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There aren't exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 1.4, 'neutral': 3.0, 'contradiction': 95.7}",contradiction,contradiction
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There are exactly eight books that hadn't annoyed Amelia.,"{'entailment': 0.1, 'neutral': 0.8, 'contradiction': 99.1}",contradiction,neutral
Were all eight skateboards that hadn't annoyed Amelia astounding Christina?,There are exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 2.5, 'neutral': 94.8, 'contradiction': 2.7}",contradiction,entailment
Were all eight skateboards that hadn't annoyed Amelia astounding Christina?,There aren't exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 23.8, 'neutral': 51.0, 'contradiction': 25.2}",contradiction,contradiction
Were all eight skateboards that hadn't annoyed Amelia astounding Christina?,There are exactly eight books that hadn't annoyed Amelia.,"{'entailment': 0.1, 'neutral': 3.0, 'contradiction': 96.9}",contradiction,neutral
All eight skateboards that hadn't annoyed Amelia might have been astounding Christina.,There are exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 22.7, 'neutral': 74.5, 'contradiction': 2.9}",neutral,entailment
All eight skateboards that hadn't annoyed Amelia might have been astounding Christina.,There aren't exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 3.1, 'neutral': 6.3, 'contradiction': 90.6}",contradiction,contradiction
All eight skateboards that hadn't annoyed Amelia might have been astounding Christina.,There are exactly eight books that hadn't annoyed Amelia.,"{'entailment': 0.1, 'neutral': 1.1, 'contradiction': 98.8}",contradiction,neutral
"If all eight skateboards that hadn't annoyed Amelia were astounding Christina, it's okay.",There are exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 6.8, 'neutral': 91.4, 'contradiction': 1.8}",neutral,entailment
"If all eight skateboards that hadn't annoyed Amelia were astounding Christina, it's okay.",There aren't exactly eight skateboards that hadn't annoyed Amelia.,"{'entailment': 6.3, 'neutral': 23.0, 'contradiction': 70.7}",contradiction,contradiction
"If all eight skateboards that hadn't annoyed Amelia were astounding Christina, it's okay.",There are exactly eight books that hadn't annoyed Amelia.,"{'entailment': 0.1, 'neutral': 2.9, 'contradiction': 97.0}",contradiction,neutral
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,All eight skateboards that hadn't annoyed Amelia were astounding Christina.,"{'entailment': 0.2, 'neutral': 0.1, 'contradiction': 99.7}",contradiction,contradiction
Were all eight skateboards that hadn't annoyed Amelia astounding Christina?,All eight skateboards that hadn't annoyed Amelia were astounding Christina.,"{'entailment': 29.1, 'neutral': 55.6, 'contradiction': 15.3}",neutral,neutral
All eight skateboards that hadn't annoyed Amelia might have been astounding Christina.,All eight skateboards that hadn't annoyed Amelia were astounding Christina.,"{'entailment': 57.1, 'neutral': 38.4, 'contradiction': 4.4}",entailment,neutral
"If all eight skateboards that hadn't annoyed Amelia were astounding Christina, it's okay.",All eight skateboards that hadn't annoyed Amelia were astounding Christina.,"{'entailment': 85.3, 'neutral': 13.2, 'contradiction': 1.5}",entailment,neutral
All four waiters that were boring Paul have telephoned.,There are exactly four waiters that were boring Paul.,"{'entailment': 61.7, 'neutral': 37.1, 'contradiction': 1.2}",entailment,entailment
