premise,hypothesis,gold_label,model1_pred_label,model2_pred_label,section
Did both adults who manage to get a job buy this hill.,There are exactly three adults who manage to get a job.,contradiction,contradiction,contradiction,both_presupposition
Both adults that were appearing might date.,There are exactly two girls that were appearing,neutral,contradiction,neutral,both_presupposition
Both boys that argue might be muttering.,Both boys that argue are muttering.,neutral,neutral,neutral,both_presupposition
Did both senators who break a bicycle scratch.,There are exactly two senators who break a bicycle,entailment,neutral,entailment,both_presupposition
Both waiters that have alarmed the cashier might have urged Lucille's teacher to question all governments.,There are exactly two schools that have alarmed the cashier,neutral,contradiction,neutral,both_presupposition
Both customers who were stunning Rebecca departed.,There are exactly two adults who were stunning Rebecca,neutral,neutral,neutral,both_presupposition
"If both customers who imagined Samuel hid all hills do litter, it's okay.",There are exactly two customers who imagined Samuel hid all hills,entailment,neutral,entailment,both_presupposition
Both skateboards that shouldn't shatter aren't rolling.,Both skateboards that shouldn't shatter are rolling.,contradiction,contradiction,contradiction,both_presupposition
"If both sketches that annoy Alexander were scaring Amanda, it's okay.",There aren't exactly two sketches that annoy Alexander,contradiction,contradiction,contradiction,both_presupposition
"If both actresses that can't forfeit were pressing the granddaughter of Randolf to come here, it's okay.",There are exactly two actresses that can't forfeit,entailment,neutral,entailment,both_presupposition
Both customers who were stunning Rebecca departed.,There are exactly three customers who were stunning Rebecca.,contradiction,contradiction,contradiction,both_presupposition
"If both actors who noticed Tonya had preferred Becca to come here, it's okay.",There are exactly two teachers who noticed Tonya,neutral,contradiction,neutral,both_presupposition
Had both teachers that vanished returned to the teacher?,There are exactly two senators that vanished,neutral,contradiction,neutral,both_presupposition
Both guests that cook might have been going fishing.,There are exactly two people that cook,neutral,neutral,neutral,both_presupposition
Have both women who hid away want to work hard?,Both women who hid away have want to work hard.,neutral,entailment,neutral,both_presupposition
Both waiters that might conceal a cashier had trained.,There are exactly two waiters that might conceal a cashier,entailment,neutral,entailment,both_presupposition
"If both boys that argue are muttering, it's okay.",Both boys that argue are muttering.,neutral,entailment,neutral,both_presupposition
"If both adults that were appearing do date, it's okay.",There are exactly two adults that were appearing,entailment,neutral,entailment,both_presupposition
"If both adults who manage to get a job bought this hill, it's okay.",There are exactly two banks who manage to get a job,neutral,contradiction,neutral,both_presupposition
"If both closets that scare Amanda are flinging open, it's okay.",There are exactly two closets that scare Amanda,entailment,neutral,entailment,both_presupposition
Both patients who weren't continuing to listen to Sabrina didn't approach Samantha.,There are exactly two patients who weren't continuing to listen to Sabrina,entailment,neutral,entailment,both_presupposition
"If both adults who manage to get a job bought this hill, it's okay.",Both adults who manage to get a job bought this hill.,neutral,entailment,neutral,both_presupposition
Both sketches that annoy Alexander were scaring Amanda.,There are exactly two sketches that annoy Alexander,entailment,neutral,entailment,both_presupposition
Both waiters that have alarmed the cashier urged Lucille's teacher to question all governments.,There aren't exactly two waiters that have alarmed the cashier,contradiction,contradiction,contradiction,both_presupposition
Both drivers that shout might leave Theresa.,There are more than two drivers that shout.,contradiction,contradiction,contradiction,both_presupposition
"If both guests that cook were going fishing, it's okay.",There are exactly two people that cook,neutral,contradiction,entailment,both_presupposition
Both adults that were appearing don't date.,There are dozens of adults that were appearing.,contradiction,contradiction,contradiction,both_presupposition
Both mouths that worry many hospitals don't fling open.,There are exactly two mouths that worry many hospitals,entailment,neutral,entailment,both_presupposition
Both actors who noticed Tonya might have preferred Becca to come here.,Both actors who noticed Tonya had preferred Becca to come here.,neutral,entailment,neutral,both_presupposition
"If both governments that weren't failing to benefit are persuading Beth to sell some doors, it's okay.",There are exactly two pedestrians that weren't failing to benefit,neutral,contradiction,neutral,both_presupposition
Both drivers that shout do leave Theresa.,There are exactly two students that shout,neutral,contradiction,neutral,both_presupposition
"If both hospitals that have forfeited respect Edward, it's okay.",There are exactly two hospitals that have forfeited,entailment,neutral,entailment,both_presupposition
Does Travis hire Alexander?,Alexander is unemployed.,entailment,contradiction,neutral,change_of_state
Those ladies had come here.,Those ladies were not here.,entailment,contradiction,contradiction,change_of_state
Noah might have hired Tonya.,Tonya wasn't unemployed.,contradiction,entailment,neutral,change_of_state
"If George does break this window, it's okay.",This window is whole.,entailment,contradiction,neutral,change_of_state
Dawn didn't escape.,Dawn used to be captive.,entailment,entailment,neutral,change_of_state
Scott got a job.,Scott used to be unemployed.,entailment,neutral,entailment,change_of_state
"If Benjamin was fixing the plate, it's okay.",The plate didn't used to be broken.,contradiction,neutral,contradiction,change_of_state
Bruce has gotten a job.,Bruce wasn't unemployed.,contradiction,entailment,neutral,change_of_state
Charles hid.,Jeffrey was exposed.,neutral,contradiction,neutral,change_of_state
Benjamin might have been fixing the plate.,Jerry used to be broken.,neutral,contradiction,neutral,change_of_state
The cucumber hadn't ripened.,The eggplant used to be unripe.,neutral,contradiction,neutral,change_of_state
"If Maria was healing that guy, it's okay.",That guy used to be ill.,entailment,neutral,entailment,change_of_state
Michelle might wake up.,Michelle does wake up.,neutral,contradiction,neutral,change_of_state
"If Bruce has gotten a job, it's okay.",Kristin was unemployed.,neutral,contradiction,neutral,change_of_state
Was Cynthia concealing Daniel?,Daniel was exposed.,entailment,contradiction,neutral,change_of_state
Bruce has gotten a job.,Bruce was unemployed.,entailment,contradiction,entailment,change_of_state
The guest had found John.,Peter used to be in an unknown location.,neutral,contradiction,neutral,change_of_state
Those ladies might have come here.,Those ladies were not here.,entailment,contradiction,neutral,change_of_state
Had Edward fixed the wheelbarrows?,The wheelbarrows didn't used to be broken.,contradiction,neutral,neutral,change_of_state
Travis might hire Alexander.,Kirsten is unemployed.,neutral,contradiction,neutral,change_of_state
Brett might ascend this hill.,Brett does ascend this hill.,neutral,contradiction,neutral,change_of_state
Was Alan climbing up ladders?,Alan used to be at the bottom of ladders.,entailment,contradiction,neutral,change_of_state
Michelle might wake up.,Carla is asleep.,neutral,contradiction,neutral,change_of_state
Paul broke the couches.,Samantha's tutors were in one piece.,neutral,contradiction,neutral,change_of_state
"If Scott got a job, it's okay.",Scott used to be unemployed.,entailment,neutral,neutral,change_of_state
Those gates didn't open.,Those gates did open.,contradiction,contradiction,contradiction,change_of_state
"If boxes are opening, it's okay.",Boxes didn't used to be closed.,contradiction,neutral,neutral,change_of_state
"If the cucumber had ripened, it's okay.",The cucumber used to be unripe.,entailment,entailment,neutral,change_of_state
Paul broke the couches.,The couches didn't used to be in one piece.,contradiction,neutral,contradiction,change_of_state
"If those ladies had come here, it's okay.",Those waitresses were not here.,neutral,neutral,neutral,change_of_state
Did the eye open?,That door was closed.,neutral,contradiction,neutral,change_of_state
The tomato might rot.,This cilantro is fresh.,neutral,contradiction,neutral,change_of_state
Had Amanda left?,Amanda had left.,neutral,neutral,neutral,change_of_state
Cynthia was concealing Daniel.,Daniel was exposed.,entailment,contradiction,contradiction,change_of_state
"If Brett does ascend this hill, it's okay.",Brett does ascend this hill.,neutral,neutral,neutral,change_of_state
"If Travis does hire Alexander, it's okay.",Alexander is unemployed.,entailment,contradiction,neutral,change_of_state
"If Edward had fixed the wheelbarrows, it's okay.",These boys were broken.,neutral,contradiction,neutral,change_of_state
"If Rhonda was getting a job, it's okay.",Rhonda used to be unemployed.,entailment,neutral,neutral,change_of_state
Benjamin wasn't fixing the plate.,The plate used to be broken.,entailment,neutral,neutral,change_of_state
"If Edward had fixed the wheelbarrows, it's okay.",Edward had fixed the wheelbarrows.,neutral,contradiction,neutral,change_of_state
Boxes are opening.,Boxes were closed.,entailment,entailment,neutral,change_of_state
Michelle does wake up.,Michelle isn't asleep.,contradiction,entailment,entailment,change_of_state
Bruce might have gotten a job.,Bruce wasn't unemployed.,contradiction,entailment,neutral,change_of_state
"If the tomato does rot, it's okay.",This cilantro is fresh.,neutral,contradiction,neutral,change_of_state
Travis doesn't hire Alexander.,Alexander isn't unemployed.,contradiction,contradiction,neutral,change_of_state
Omar isn't hiding Sarah.,Sarah was out in the open.,entailment,entailment,neutral,change_of_state
Those ladies might have come here.,Those ladies had come here.,neutral,neutral,neutral,change_of_state
"If Christina does heal Stephen, it's okay.",Bethany is sick.,neutral,contradiction,neutral,change_of_state
Bruce has gotten a job.,Kristin was unemployed.,neutral,contradiction,neutral,change_of_state
"If this waiter came here, it's okay.",This waiter was not here.,entailment,contradiction,neutral,change_of_state
Is it that person that finds out who doesn't talk about Carrie?,Someone finds out who doesn't talk about Carrie,entailment,neutral,entailment,cleft_existence
It is Brenda that cared for Erin.,Someone cared for Erin,entailment,entailment,entailment,cleft_existence
It might be Amanda who imagined Helen managed to watch Alexander.,No one imagined Helen managed to watch Alexander,contradiction,contradiction,contradiction,cleft_existence
"If it is Christina who did hate Tammy, it's okay",Someone did hate Tammy,entailment,neutral,neutral,cleft_existence
It isn't Travis that had referenced Nina.,Someone had referenced Nina,entailment,entailment,neutral,cleft_existence
It is Barbara who commands Sandra's nieces to walk through some closet.,Someone commands Sandra's nieces to walk through some closet,entailment,entailment,entailment,cleft_existence
"If it is Donald who discovered the plate, it's okay",No one discovered the plate,contradiction,contradiction,neutral,cleft_existence
It is Deanna who did buy these blouses.,No one did buy these blouses,contradiction,contradiction,contradiction,cleft_existence
It is Sonia that messes up grocery stores.,Someone messes up that school,neutral,contradiction,neutral,cleft_existence
It might be Donald who discovered the plate.,Someone discovered Monica,neutral,contradiction,neutral,cleft_existence
It isn't Theresa that healed Monica.,Someone healed Stephen,neutral,contradiction,neutral,cleft_existence
"If it is Helen that talked about Cheryl, it's okay",Someone talked about Cheryl,entailment,entailment,neutral,cleft_existence
It might be Dan who does look to escape from Margaret.,It is Dan who does look to escape from Margaret.,neutral,neutral,neutral,cleft_existence
"If it is Deanna who did buy these blouses, it's okay",Someone does buy this lake,neutral,contradiction,neutral,cleft_existence
Is it this lady that has hidden Sherry?,Someone has hidden Sherry,entailment,neutral,neutral,cleft_existence
It is Deanna who did buy these blouses.,Someone did buy these blouses,entailment,entailment,entailment,cleft_existence
It is Douglas that did work with Tanya.,Someone did work with Ronald,neutral,contradiction,neutral,cleft_existence
It might be Brenda that cared for Erin.,Someone cared for Erin,entailment,entailment,neutral,cleft_existence
Is it Winston Churchill that had realized who wasn't continuing to train?,No one had realized who wasn't continuing to train,contradiction,contradiction,contradiction,cleft_existence
It might be that person that finds out who doesn't talk about Carrie.,Someone finds out who was changing,neutral,neutral,neutral,cleft_existence
It might be that driver who does forget about who weren't touring many rivers.,It is that driver who does forget about who weren't touring many rivers.,neutral,neutral,neutral,cleft_existence
Is it Gerald who is arguing about Sandra?,Someone is arguing about Sandra,entailment,entailment,neutral,cleft_existence
It might be Dan who does look to escape from Margaret.,Someone did look to scare some boy,neutral,contradiction,neutral,cleft_existence
It is Suzanne who has dropped by the rivers.,Someone had dropped by these glaciers,neutral,contradiction,neutral,cleft_existence
"If it is Barbara who commands Sandra's nieces to walk through some closet, it's okay",Someone commands Sandra's nieces to walk through some closet,entailment,entailment,neutral,cleft_existence
It isn't that movie that disagreed with Tamara.,It is that movie that disagreed with Tamara.,contradiction,contradiction,contradiction,cleft_existence
"If it is Jeffrey who did help Ruth, it's okay",No one did help Ruth,contradiction,contradiction,contradiction,cleft_existence
"If it is Theresa that healed Monica, it's okay",Someone healed Monica,entailment,entailment,neutral,cleft_existence
It is Suzanne who has dropped by the rivers.,No one has dropped by the rivers,contradiction,contradiction,contradiction,cleft_existence
"If it is Brenda that cared for Erin, it's okay",Someone cared for Sally,neutral,contradiction,neutral,cleft_existence
Is it Monica that did seem to slump over?,Someone did seem to embrace,neutral,contradiction,neutral,cleft_existence
It might be Frank who discovered Elizabeth to shrug.,Someone discovered the Impressionists to work hard,neutral,contradiction,neutral,cleft_existence
Is it Renee who loves Sara?,It is Renee who loves Sara.,neutral,neutral,neutral,cleft_existence
It is this lady that has hidden Sherry.,Someone has hidden Sherry,entailment,entailment,entailment,cleft_existence
"If it is that driver who does forget about who weren't touring many rivers, it's okay",It is that driver who does forget about who weren't touring many rivers.,neutral,entailment,neutral,cleft_existence
"If it is that person that finds out who doesn't talk about Carrie, it's okay",Someone finds out who doesn't talk about Carrie,entailment,entailment,neutral,cleft_existence
"If it is Winston Churchill that had realized who wasn't continuing to train, it's okay",Someone had realized what shrinks,neutral,contradiction,neutral,cleft_existence
"If it is Carl who does scan newspaper articles, it's okay",Someone does scan newspaper articles,entailment,neutral,neutral,cleft_existence
It isn't Donald who discovered the plate.,Someone discovered the plate,entailment,entailment,neutral,cleft_existence
"If it is Winston Churchill that had realized who wasn't continuing to train, it's okay",It is Winston Churchill that had realized who wasn't continuing to train.,neutral,entailment,neutral,cleft_existence
It is Jeffrey who did help Ruth.,Someone did help Ruth,entailment,entailment,entailment,cleft_existence
It is Dan who does look to escape from Margaret.,No one does look to escape from Margaret,contradiction,contradiction,contradiction,cleft_existence
It might be Deanna who did buy these blouses.,No one did buy these blouses,contradiction,contradiction,contradiction,cleft_existence
"If it is Frank who discovered Elizabeth to shrug, it's okay",Someone discovered the Impressionists to work hard,neutral,contradiction,neutral,cleft_existence
It isn't that person that finds out who doesn't talk about Carrie.,No one finds out who doesn't talk about Carrie,contradiction,contradiction,contradiction,cleft_existence
It isn't Vincent who works with the waiter.,Someone works with the waiter,entailment,entailment,neutral,cleft_existence
It might be Brenda that cared for Erin.,It is Brenda that cared for Erin.,neutral,neutral,neutral,cleft_existence
"If it is Amanda that was hurting Teresa, it's okay",Someone is hurting women,neutral,neutral,neutral,cleft_existence
It is Deanna who did buy these blouses.,Someone does buy this lake,neutral,contradiction,neutral,cleft_existence
"If it is Natalie that is needing Meredith to investigate Katherine, it's okay",Someone is needing Meredith to investigate Katherine,entailment,entailment,neutral,cleft_existence
Is it Daniel that had required Kendra's grandmother to play?,Exactly one person had required Kendra's grandmother to play.,entailment,contradiction,neutral,cleft_uniqueness
It is Julie that talks to Theodore.,Exactly one person talks to Theodore.,entailment,neutral,neutral,cleft_uniqueness
It might be a girl who is breaking this bike.,More than one person is breaking this bike.,contradiction,neutral,neutral,cleft_uniqueness
"If it is Alice who doubts Donna described Stacey, it's okay",Exactly one person doubts Donna described Stacey.,entailment,contradiction,neutral,cleft_uniqueness
It isn't Nancy that had driven to the college campuses.,Exactly one person had driven to the college campuses.,entailment,contradiction,neutral,cleft_uniqueness
It is Kayla that hired Anne.,Exactly one person hired Anne.,entailment,neutral,neutral,cleft_uniqueness
"If it is Irene that kissed David, it's okay",More than one person kissed David.,contradiction,neutral,neutral,cleft_uniqueness
It is Denise who sounded like Helen.,More than one person sounded like Helen.,contradiction,neutral,neutral,cleft_uniqueness
It is Barbara that had induced this waiter to reveal those forks.,Exactly one person had induced Candice to reveal some gloves.,neutral,contradiction,neutral,cleft_uniqueness
It might be Irene that kissed David.,Exactly one person kissed Cindy.,neutral,contradiction,neutral,cleft_uniqueness
It isn't Kayla who explored those hills.,Exactly one person explored these restaurants.,neutral,contradiction,neutral,cleft_uniqueness
"If it is Laura who sounded like Raymond, it's okay",Exactly one person sounded like Raymond.,entailment,contradiction,neutral,cleft_uniqueness
It might be Carol that does persuade these associations to argue.,It is Carol that does persuade these associations to argue.,neutral,neutral,neutral,cleft_uniqueness
"If it is Denise who sounded like Helen, it's okay",Exactly one person sounded like that museum.,neutral,contradiction,neutral,cleft_uniqueness
Is it Elaine who was appreciating the malls?,Exactly one person was appreciating the malls.,entailment,contradiction,neutral,cleft_uniqueness
It is Denise who sounded like Helen.,Exactly one person sounded like Helen.,entailment,neutral,neutral,cleft_uniqueness
It is Sherry that does dislike Allison.,Exactly one person did dislike Mitchell.,neutral,contradiction,neutral,cleft_uniqueness
It might be Julie that talks to Theodore.,Exactly one person talks to Theodore.,entailment,contradiction,neutral,cleft_uniqueness
Is it Victoria that does listen to Brett?,More than one person does listen to Brett.,contradiction,neutral,neutral,cleft_uniqueness
It might be Daniel that had required Kendra's grandmother to play.,Exactly one person had required Mark's contractors to disagree.,neutral,contradiction,neutral,cleft_uniqueness
It might be Omar who does drive to the movie theater.,It is Omar who does drive to the movie theater.,neutral,neutral,neutral,cleft_uniqueness
Is it James who is climbing up the stairs?,Exactly one person is climbing up the stairs.,entailment,contradiction,neutral,cleft_uniqueness
It might be Carol that does persuade these associations to argue.,Exactly one person did persuade Candice's guests to donate.,neutral,contradiction,neutral,cleft_uniqueness
It is that actress who has described Holly.,Exactly one person had described Randolf.,neutral,contradiction,neutral,cleft_uniqueness
"If it is Kayla that hired Anne, it's okay",Exactly one person hired Anne.,entailment,contradiction,neutral,cleft_uniqueness
It isn't Charles that has ordered Tammy to know David.,It is Charles that has ordered Tammy to know David.,contradiction,contradiction,contradiction,cleft_uniqueness
"If it is Joseph that proved to freeze, it's okay",More than one person proved to freeze.,contradiction,neutral,neutral,cleft_uniqueness
"If it is Kayla who explored those hills, it's okay",Exactly one person explored those hills.,entailment,contradiction,neutral,cleft_uniqueness
It is that actress who has described Holly.,More than one person has described Holly.,contradiction,neutral,neutral,cleft_uniqueness
"If it is Julie that talks to Theodore, it's okay",Exactly one person talks to Bradley.,neutral,contradiction,neutral,cleft_uniqueness
Is it that legislature that is irritating April?,Exactly one thing is irritating Mark.,neutral,contradiction,neutral,cleft_uniqueness
It might be the grocery store that had bored Jacqueline.,Exactly one thing has bored Eric.,neutral,contradiction,neutral,cleft_uniqueness
Is it Cynthia who had respected Andrea?,It is Cynthia who had respected Andrea.,neutral,neutral,neutral,cleft_uniqueness
It is Elaine who was appreciating the malls.,Exactly one person was appreciating the malls.,entailment,entailment,neutral,cleft_uniqueness
"If it is Omar who does drive to the movie theater, it's okay",It is Omar who does drive to the movie theater.,neutral,entailment,neutral,cleft_uniqueness
"If it is Daniel that had required Kendra's grandmother to play, it's okay",Exactly one person had required Kendra's grandmother to play.,entailment,neutral,neutral,cleft_uniqueness
"If it is Victoria that does listen to Brett, it's okay",Exactly one person did listen to Samuel.,neutral,contradiction,neutral,cleft_uniqueness
"If it is this adult that ran around that mountain, it's okay",Exactly one person ran around that mountain.,entailment,neutral,neutral,cleft_uniqueness
It isn't Irene that kissed David.,Exactly one person kissed David.,entailment,contradiction,neutral,cleft_uniqueness
"If it is Victoria that does listen to Brett, it's okay",It is Victoria that does listen to Brett.,neutral,entailment,neutral,cleft_uniqueness
It is Joseph that proved to freeze.,Exactly one person proved to freeze.,entailment,neutral,neutral,cleft_uniqueness
It is Carol that does persuade these associations to argue.,More than one person does persuade these associations to argue.,contradiction,contradiction,neutral,cleft_uniqueness
It might be Denise who sounded like Helen.,More than one person sounded like Helen.,contradiction,neutral,neutral,cleft_uniqueness
"If it is the grocery store that had bored Jacqueline, it's okay",Exactly one thing has bored Eric.,neutral,contradiction,neutral,cleft_uniqueness
It isn't Daniel that had required Kendra's grandmother to play.,More than one person had required Kendra's grandmother to play.,contradiction,entailment,neutral,cleft_uniqueness
It isn't Lori that had loved Jason.,Exactly one person had loved Jason.,entailment,contradiction,neutral,cleft_uniqueness
It might be Julie that talks to Theodore.,It is Julie that talks to Theodore.,neutral,neutral,neutral,cleft_uniqueness
"If it is Marla that is researching the Great Lakes, it's okay",Exactly one person is researching the Borgias.,neutral,contradiction,neutral,cleft_uniqueness
