premise,hypothesis,trigger,trigger1,trigger2,presupposition,gold_label,UID,pairID,paradigmID,section
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,95e,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,96c,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,97n,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,98e,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,99c,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,100n,5,all_n_presupposition
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,101e,5,all_n_presupposition
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,102c,5,all_n_presupposition
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,103n,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,104e,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,105c,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,106n,5,all_n_presupposition
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,107e,5,all_n_presupposition
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,108c,5,all_n_presupposition
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,109n,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,110c,5,all_n_presupposition
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,111n,5,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,112n,5,all_n_presupposition
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,113n,5,all_n_presupposition
The four pedestrians that were visiting Brenda sigh.,There are exactly four pedestrians that were visiting Brenda.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,114e,6,all_n_presupposition
The four pedestrians that were visiting Brenda sigh.,There aren't exactly four pedestrians that were visiting Brenda.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,115c,6,all_n_presupposition
The four pedestrians that were visiting Brenda sigh.,There are exactly four teenagers that were visiting Brenda.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,116n,6,all_n_presupposition
The four pedestrians that were visiting Brenda don't sigh.,There are exactly four pedestrians that were visiting Brenda.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,117e,6,all_n_presupposition
The four pedestrians that were visiting Brenda don't sigh.,There aren't exactly four pedestrians that were visiting Brenda.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,118c,6,all_n_presupposition
The four pedestrians that were visiting Brenda don't sigh.,There are exactly four teenagers that were visiting Brenda.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,119n,6,all_n_presupposition
Do the four pedestrians that were visiting Brenda sigh?,There are exactly four pedestrians that were visiting Brenda.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,120e,6,all_n_presupposition
Do the four pedestrians that were visiting Brenda sigh?,There aren't exactly four pedestrians that were visiting Brenda.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,121c,6,all_n_presupposition
Do the four pedestrians that were visiting Brenda sigh?,There are exactly four teenagers that were visiting Brenda.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,122n,6,all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,There are exactly four pedestrians that were visiting Brenda.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,123e,6,all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,There aren't exactly four pedestrians that were visiting Brenda.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,124c,6,all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,There are exactly four teenagers that were visiting Brenda.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,125n,6,all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There are exactly four pedestrians that were visiting Brenda.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,126e,6,all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There aren't exactly four pedestrians that were visiting Brenda.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,127c,6,all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There are exactly four teenagers that were visiting Brenda.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,128n,6,all_n_presupposition
The four pedestrians that were visiting Brenda don't sigh.,The four pedestrians that were visiting Brenda sigh.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,129c,6,all_n_presupposition
Do the four pedestrians that were visiting Brenda sigh?,The four pedestrians that were visiting Brenda sigh.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,130n,6,all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,The four pedestrians that were visiting Brenda sigh.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,131n,6,all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",The four pedestrians that were visiting Brenda sigh.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,132n,6,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There are exactly eight skateboards that hadn't annoyed Amelia.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,133e,7,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There aren't exactly eight skateboards that hadn't annoyed Amelia.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,134c,7,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There are exactly eight books that hadn't annoyed Amelia.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,135n,7,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There are exactly eight skateboards that hadn't annoyed Amelia.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,136e,7,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There aren't exactly eight skateboards that hadn't annoyed Amelia.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,137c,7,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There are exactly eight books that hadn't annoyed Amelia.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,138n,7,all_n_presupposition
Were all eight skateboards that hadn't annoyed Amelia astounding Christina?,There are exactly eight skateboards that hadn't annoyed Amelia.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,139e,7,all_n_presupposition
Were all eight skateboards that hadn't annoyed Amelia astounding Christina?,There aren't exactly eight skateboards that hadn't annoyed Amelia.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,140c,7,all_n_presupposition
Were all eight skateboards that hadn't annoyed Amelia astounding Christina?,There are exactly eight books that hadn't annoyed Amelia.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,141n,7,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia might have been astounding Christina.,There are exactly eight skateboards that hadn't annoyed Amelia.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,142e,7,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia might have been astounding Christina.,There aren't exactly eight skateboards that hadn't annoyed Amelia.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,143c,7,all_n_presupposition
All eight skateboards that hadn't annoyed Amelia might have been astounding Christina.,There are exactly eight books that hadn't annoyed Amelia.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,144n,7,all_n_presupposition
"If all eight skateboards that hadn't annoyed Amelia were astounding Christina, it's okay.",There are exactly eight skateboards that hadn't annoyed Amelia.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,145e,7,all_n_presupposition
"If all eight skateboards that hadn't annoyed Amelia were astounding Christina, it's okay.",There aren't exactly eight skateboards that hadn't annoyed Amelia.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,146c,7,all_n_presupposition
